Period\Unit:,[US dollar ]
30/11/2021,1.1363
29/11/2021,1.1276
26/11/2021,1.1291
25/11/2021,1.1223
24/11/2021,1.1206
23/11/2021,1.1259
22/11/2021,1.1278
19/11/2021,1.1271
18/11/2021,1.1345
17/11/2021,1.1316
16/11/2021,1.1368
15/11/2021,1.1444
12/11/2021,1.1448
11/11/2021,1.146
10/11/2021,1.1558
9/11/2021,1.1577
8/11/2021,1.1579
5/11/2021,1.1519
4/11/2021,1.1569
3/11/2021,1.1578
2/11/2021,1.1603
1/11/2021,1.1578
29/10/2021,1.1645
28/10/2021,1.1593
27/10/2021,1.1617
26/10/2021,1.1618
25/10/2021,1.1603
22/10/2021,1.163
21/10/2021,1.1637
20/10/2021,1.1623
19/10/2021,1.1655
18/10/2021,1.1604
15/10/2021,1.1602
14/10/2021,1.1602
13/10/2021,1.1562
12/10/2021,1.1555
11/10/2021,1.1574
8/10/2021,1.1569
7/10/2021,1.1562
6/10/2021,1.1542
5/10/2021,1.1602
4/10/2021,1.1636
1/10/2021,1.16
30/9/2021,1.1579
29/9/2021,1.1654
28/9/2021,1.1678
27/9/2021,1.1698
24/9/2021,1.1719
23/9/2021,1.1715
22/9/2021,1.1729
21/9/2021,1.1738
20/9/2021,1.1711
17/9/2021,1.178
16/9/2021,1.1763
15/9/2021,1.1824
14/9/2021,1.1814
13/9/2021,1.178
10/9/2021,1.1841
9/9/2021,1.1838
8/9/2021,1.1827
7/9/2021,1.186
6/9/2021,1.1864
3/9/2021,1.1872
2/9/2021,1.1846
1/9/2021,1.1817
31/8/2021,1.1834
30/8/2021,1.1801
27/8/2021,1.1761
26/8/2021,1.1767
25/8/2021,1.1736
24/8/2021,1.174
23/8/2021,1.1718
20/8/2021,1.1671
19/8/2021,1.1696
18/8/2021,1.1723
17/8/2021,1.1767
16/8/2021,1.1772
13/8/2021,1.1765
12/8/2021,1.1739
11/8/2021,1.1718
10/8/2021,1.1722
9/8/2021,1.1761
6/8/2021,1.1807
5/8/2021,1.185
4/8/2021,1.1861
3/8/2021,1.1885
2/8/2021,1.1886
30/7/2021,1.1891
29/7/2021,1.1873
28/7/2021,1.1807
27/7/2021,1.181
26/7/2021,1.1787
23/7/2021,1.1767
22/7/2021,1.1775
21/7/2021,1.1772
20/7/2021,1.1775
19/7/2021,1.1766
16/7/2021,1.1802
15/7/2021,1.1809
14/7/2021,1.1812
13/7/2021,1.1844
12/7/2021,1.1852
9/7/2021,1.1858
8/7/2021,1.1838
7/7/2021,1.1831
6/7/2021,1.1838
5/7/2021,1.1866
2/7/2021,1.1823
1/7/2021,1.1884
30/6/2021,1.1884
29/6/2021,1.1888
28/6/2021,1.191
25/6/2021,1.195
24/6/2021,1.1936
23/6/2021,1.1951
22/6/2021,1.1894
21/6/2021,1.1891
18/6/2021,1.1898
17/6/2021,1.1937
16/6/2021,1.2124
15/6/2021,1.2108
14/6/2021,1.2112
11/6/2021,1.2125
10/6/2021,1.2174
9/6/2021,1.2195
8/6/2021,1.2182
7/6/2021,1.2162
4/6/2021,1.2117
3/6/2021,1.2187
2/6/2021,1.2186
1/6/2021,1.2225
31/5/2021,1.2201
28/5/2021,1.2142
27/5/2021,1.2198
26/5/2021,1.2229
25/5/2021,1.2264
24/5/2021,1.2212
21/5/2021,1.2188
20/5/2021,1.2203
19/5/2021,1.2212
18/5/2021,1.2222
17/5/2021,1.2143
14/5/2021,1.2123
13/5/2021,1.2081
12/5/2021,1.2118
11/5/2021,1.217
10/5/2021,1.2169
7/5/2021,1.2059
6/5/2021,1.206
5/5/2021,1.2005
4/5/2021,1.2021
3/5/2021,1.2044
30/4/2021,1.2082
29/4/2021,1.2129
28/4/2021,1.207
27/4/2021,1.2088
26/4/2021,1.2085
23/4/2021,1.2066
22/4/2021,1.2046
21/4/2021,1.2007
20/4/2021,1.2051
19/4/2021,1.2035
16/4/2021,1.1986
15/4/2021,1.197
14/4/2021,1.1964
13/4/2021,1.1896
12/4/2021,1.1904
9/4/2021,1.1888
8/4/2021,1.1873
7/4/2021,1.1884
6/4/2021,1.1812
1/4/2021,1.1746
31/3/2021,1.1725
30/3/2021,1.1741
29/3/2021,1.1784
26/3/2021,1.1782
25/3/2021,1.1802
24/3/2021,1.1825
23/3/2021,1.1883
22/3/2021,1.1926
19/3/2021,1.1891
18/3/2021,1.1912
17/3/2021,1.1907
16/3/2021,1.1926
15/3/2021,1.192
12/3/2021,1.1933
11/3/2021,1.1969
10/3/2021,1.1892
9/3/2021,1.1894
8/3/2021,1.1866
5/3/2021,1.1938
4/3/2021,1.2034
3/3/2021,1.2048
2/3/2021,1.2028
1/3/2021,1.2053
26/2/2021,1.2121
25/2/2021,1.2225
24/2/2021,1.2146
23/2/2021,1.2143
22/2/2021,1.2133
19/2/2021,1.2139
18/2/2021,1.2084
17/2/2021,1.206
16/2/2021,1.2143
15/2/2021,1.2129
12/2/2021,1.2108
11/2/2021,1.2147
10/2/2021,1.2127
9/2/2021,1.2104
8/2/2021,1.2025
5/2/2021,1.1983
4/2/2021,1.1996
3/2/2021,1.2017
2/2/2021,1.2044
1/2/2021,1.2084
29/1/2021,1.2136
28/1/2021,1.2091
27/1/2021,1.2114
26/1/2021,1.2143
25/1/2021,1.2152
22/1/2021,1.2158
21/1/2021,1.2158
20/1/2021,1.2101
19/1/2021,1.2132
18/1/2021,1.2064
15/1/2021,1.2123
14/1/2021,1.2124
13/1/2021,1.2166
12/1/2021,1.2161
11/1/2021,1.2163
8/1/2021,1.225
7/1/2021,1.2276
6/1/2021,1.2338
5/1/2021,1.2271
4/1/2021,1.2296
31/12/2020,1.2271
30/12/2020,1.2281
29/12/2020,1.2259
28/12/2020,1.2219
24/12/2020,1.2193
23/12/2020,1.2166
22/12/2020,1.2239
21/12/2020,1.2173
18/12/2020,1.2259
17/12/2020,1.2246
16/12/2020,1.2189
15/12/2020,1.214
14/12/2020,1.2162
11/12/2020,1.2127
10/12/2020,1.2115
9/12/2020,1.2109
8/12/2020,1.2114
7/12/2020,1.2128
4/12/2020,1.2159
3/12/2020,1.2151
2/12/2020,1.2066
1/12/2020,1.1968
30/11/2020,1.198
27/11/2020,1.1922
26/11/2020,1.19
25/11/2020,1.189
24/11/2020,1.1865
23/11/2020,1.1901
20/11/2020,1.1863
19/11/2020,1.1832
18/11/2020,1.1868
17/11/2020,1.1882
16/11/2020,1.183
13/11/2020,1.1815
12/11/2020,1.1791
11/11/2020,1.1766
10/11/2020,1.1808
9/11/2020,1.1883
6/11/2020,1.187
5/11/2020,1.1855
4/11/2020,1.1721
3/11/2020,1.1702
2/11/2020,1.1652
30/10/2020,1.1698
29/10/2020,1.1704
28/10/2020,1.1727
27/10/2020,1.1832
26/10/2020,1.1819
23/10/2020,1.1856
22/10/2020,1.1821
21/10/2020,1.1852
20/10/2020,1.181
19/10/2020,1.1785
16/10/2020,1.1741
15/10/2020,1.1698
14/10/2020,1.175
13/10/2020,1.1787
12/10/2020,1.1799
9/10/2020,1.1795
8/10/2020,1.1765
7/10/2020,1.177
6/10/2020,1.1795
5/10/2020,1.1768
2/10/2020,1.173
1/10/2020,1.1752
30/9/2020,1.1708
29/9/2020,1.1702
28/9/2020,1.167
25/9/2020,1.1634
24/9/2020,1.1645
23/9/2020,1.1692
22/9/2020,1.174
21/9/2020,1.1787
18/9/2020,1.1833
17/9/2020,1.1797
16/9/2020,1.1869
15/9/2020,1.1892
14/9/2020,1.1876
11/9/2020,1.1854
10/9/2020,1.1849
9/9/2020,1.1773
8/9/2020,1.1785
7/9/2020,1.1824
4/9/2020,1.1842
3/9/2020,1.1813
2/9/2020,1.1861
1/9/2020,1.1987
31/8/2020,1.194
28/8/2020,1.1915
27/8/2020,1.1806
26/8/2020,1.1789
25/8/2020,1.1814
24/8/2020,1.1847
21/8/2020,1.1769
20/8/2020,1.185
19/8/2020,1.1933
18/8/2020,1.1906
17/8/2020,1.1853
14/8/2020,1.1813
13/8/2020,1.1833
12/8/2020,1.1771
11/8/2020,1.1783
10/8/2020,1.1763
7/8/2020,1.1817
6/8/2020,1.1843
5/8/2020,1.1854
4/8/2020,1.1765
3/8/2020,1.1726
31/7/2020,1.1848
30/7/2020,1.1743
29/7/2020,1.1725
28/7/2020,1.1717
27/7/2020,1.176
24/7/2020,1.1608
23/7/2020,1.1569
22/7/2020,1.1578
21/7/2020,1.1443
20/7/2020,1.1448
17/7/2020,1.1428
16/7/2020,1.1414
15/7/2020,1.1444
14/7/2020,1.1375
13/7/2020,1.1329
10/7/2020,1.1276
9/7/2020,1.1342
8/7/2020,1.1286
7/7/2020,1.129
6/7/2020,1.1325
3/7/2020,1.1224
2/7/2020,1.1286
1/7/2020,1.12
30/6/2020,1.1198
29/6/2020,1.1284
26/6/2020,1.1213
25/6/2020,1.12
24/6/2020,1.128
23/6/2020,1.1318
22/6/2020,1.1213
19/6/2020,1.121
18/6/2020,1.1222
17/6/2020,1.1232
16/6/2020,1.1308
15/6/2020,1.1253
12/6/2020,1.1304
11/6/2020,1.1348
10/6/2020,1.1375
9/6/2020,1.1294
8/6/2020,1.1285
5/6/2020,1.133
4/6/2020,1.125
3/6/2020,1.1194
2/6/2020,1.1174
1/6/2020,1.1116
29/5/2020,1.1136
28/5/2020,1.1016
27/5/2020,1.0991
26/5/2020,1.0975
25/5/2020,1.091
22/5/2020,1.0904
21/5/2020,1.1
20/5/2020,1.0958
19/5/2020,1.095
18/5/2020,1.0832
15/5/2020,1.0798
14/5/2020,1.0792
13/5/2020,1.0875
12/5/2020,1.0858
11/5/2020,1.0824
8/5/2020,1.0843
7/5/2020,1.0783
6/5/2020,1.0807
5/5/2020,1.0843
4/5/2020,1.0942
30/4/2020,1.0876
29/4/2020,1.0842
28/4/2020,1.0877
27/4/2020,1.0852
24/4/2020,1.08
23/4/2020,1.0772
22/4/2020,1.0867
21/4/2020,1.0837
20/4/2020,1.086
17/4/2020,1.086
16/4/2020,1.0888
15/4/2020,1.0903
14/4/2020,1.0963
9/4/2020,1.0867
8/4/2020,1.0871
7/4/2020,1.0885
6/4/2020,1.0791
3/4/2020,1.0785
2/4/2020,1.0906
1/4/2020,1.0936
31/3/2020,1.0956
30/3/2020,1.1034
27/3/2020,1.0977
26/3/2020,1.0981
25/3/2020,1.0827
24/3/2020,1.0843
23/3/2020,1.0783
20/3/2020,1.0707
19/3/2020,1.0801
18/3/2020,1.0934
17/3/2020,1.0982
16/3/2020,1.1157
13/3/2020,1.1104
12/3/2020,1.124
11/3/2020,1.1336
10/3/2020,1.139
9/3/2020,1.1456
6/3/2020,1.1336
5/3/2020,1.1187
4/3/2020,1.1125
3/3/2020,1.1117
2/3/2020,1.1122
28/2/2020,1.0977
27/2/2020,1.0964
26/2/2020,1.0875
25/2/2020,1.084
24/2/2020,1.0818
21/2/2020,1.0801
20/2/2020,1.079
19/2/2020,1.08
18/2/2020,1.0816
17/2/2020,1.0835
14/2/2020,1.0842
13/2/2020,1.0867
12/2/2020,1.0914
11/2/2020,1.0901
10/2/2020,1.0951
7/2/2020,1.0969
6/2/2020,1.1003
5/2/2020,1.1023
4/2/2020,1.1048
3/2/2020,1.1066
31/1/2020,1.1052
30/1/2020,1.1029
29/1/2020,1.1001
28/1/2020,1.1005
27/1/2020,1.1025
24/1/2020,1.1035
23/1/2020,1.1091
22/1/2020,1.1088
21/1/2020,1.1115
20/1/2020,1.1085
17/1/2020,1.1108
16/1/2020,1.1169
15/1/2020,1.1142
14/1/2020,1.1115
13/1/2020,1.1126
10/1/2020,1.1091
9/1/2020,1.111
8/1/2020,1.1115
7/1/2020,1.1172
6/1/2020,1.1194
3/1/2020,1.1147
2/1/2020,1.1193
31/12/2019,1.1234
30/12/2019,1.1189
27/12/2019,1.1153
24/12/2019,1.108
23/12/2019,1.1075
20/12/2019,1.1097
19/12/2019,1.1117
18/12/2019,1.1115
17/12/2019,1.1162
16/12/2019,1.1146
13/12/2019,1.1174
12/12/2019,1.1137
11/12/2019,1.1075
10/12/2019,1.1077
9/12/2019,1.1075
6/12/2019,1.1094
5/12/2019,1.1094
4/12/2019,1.1081
3/12/2019,1.1071
2/12/2019,1.1023
29/11/2019,1.0982
28/11/2019,1.1005
27/11/2019,1.1009
26/11/2019,1.102
25/11/2019,1.1008
22/11/2019,1.1058
21/11/2019,1.1091
20/11/2019,1.1059
19/11/2019,1.1077
18/11/2019,1.1061
15/11/2019,1.1034
14/11/2019,1.0997
13/11/2019,1.1006
12/11/2019,1.1015
11/11/2019,1.1041
8/11/2019,1.1034
7/11/2019,1.1077
6/11/2019,1.109
5/11/2019,1.1109
4/11/2019,1.1158
1/11/2019,1.1139
31/10/2019,1.1154
30/10/2019,1.1106
29/10/2019,1.1095
28/10/2019,1.1087
25/10/2019,1.1107
24/10/2019,1.1128
23/10/2019,1.1123
22/10/2019,1.113
21/10/2019,1.1173
18/10/2019,1.1144
17/10/2019,1.1113
16/10/2019,1.1025
15/10/2019,1.1007
14/10/2019,1.1031
11/10/2019,1.1043
10/10/2019,1.103
9/10/2019,1.0981
8/10/2019,1.0986
7/10/2019,1.0993
4/10/2019,1.0979
3/10/2019,1.0951
